section	item	value	share	rank	detail
run_configuration	generated_on	2026-04-18 17:32:47			
run_configuration	csv_source	/home/pguerrero005/corpus-linguistics-project/data/raw/metadata.csv			
run_configuration	only_processed	True			
run_configuration	year_filter	1905			
run_configuration	variant_filter	n/a			
run_configuration	output_directory	/home/pguerrero005/corpus-linguistics-project/data/analysis/general/run_20260418_173246			
core_metrics	total_documents	63			
core_metrics	total_paragraphs	30,031			
core_metrics	average_paragraphs_per_document	476.7			
core_metrics	median_paragraphs_per_document	395			
core_metrics	year_range	1905-1948			
core_metrics	unique_language_labels	1			
core_metrics	unique_variants	5			
word_counts	ca_words	1577899			Catalan originals (data/raw/)
word_counts	es_words	1669795			Spanish translations (data/processed/)
parallel_corpus	aligned_pairs	30289			corpus_ca_es.csv
parallel_corpus	ca_tokens	1582915			Catalan tokens
parallel_corpus	ca_words	1582915			Catalan words
parallel_corpus	es_tokens	1650442			Spanish tokens
parallel_corpus	es_words	1650442			Spanish words
documents_by_decade	1900s	10	15.9%		
documents_by_decade	1910s	24	38.1%		
documents_by_decade	1920s	17	27.0%		
documents_by_decade	1930s	10	15.9%		
documents_by_decade	1940s	2	3.2%		
language_labels	LIT	63	100.0%		
translation_status	Original	54	85.7%		
translation_status	Translation	9	14.3%		
textual_variants	central	56	88.9%		
textual_variants	baleàric	3	4.8%		
textual_variants	nord-occidental	2	3.2%		
textual_variants	valencià	1	1.6%		
textual_variants	septentrional	1	1.6%		
average_paragraphs_by_decade	1900s	501.2			
average_paragraphs_by_decade	1910s	383.5			
average_paragraphs_by_decade	1920s	537.3			
average_paragraphs_by_decade	1930s	559.9			
average_paragraphs_by_decade	1940s	541.5			
top_authors	Corominas, Pere	8	12.7%	1	
top_authors	Bertrana, Prudenci	7	11.1%	2	
top_authors	Rusiñol, Santiago	4	6.3%	3	
top_authors	Ruyra, Joaquim	4	6.3%	4	
top_authors	Bofill i Mates, Jaume	3	4.8%	5	
top_authors	Clascar, Frederic	3	4.8%	6	
top_authors	Vallmitjana, Juli	3	4.8%	7	
top_authors	Alcover, Joan	2	3.2%	8	
top_authors	Oller, Narcís	2	3.2%	9	
top_authors	Maseras i Galtés, Alfons	2	3.2%	10	
top_authors	Guimerà, Àngel	2	3.2%	11	
top_authors	Karr i Alfonsetti, Carme	2	3.2%	12	
top_authors	Monserdà, Dolors	1	1.6%	13	
top_authors	Massó i Torrents, Jaume	1	1.6%	14	
top_authors	Plana, Alexandre	1	1.6%	15	
