source_file,language,section,subgroup,rank,item,item_2,value,value_2,value_3,notes
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,1,havia,,8.9193,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,2,fer,,8.8111,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,3,dir,,8.5638,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,4,aquell,,8.4412,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,5,aquesta,,8.3095,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,6,tota,,8.2275,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,7,senyor,,8.186,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,8,mateix,,8.1464,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,9,fet,,8.1268,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,10,veure,,8.1232,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,11,després,,8.0952,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,12,sempre,,8.0884,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,13,ulls,,8.0677,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,14,ésser,,8.0269,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,15,vaig,,8.0216,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,16,los,,7.9705,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,17,mai,,7.9048,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,18,anar,,7.8783,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,19,cor,,7.8628,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,20,home,,7.8518,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,21,feia,,7.8416,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,22,pot,,7.8344,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,23,tenia,,7.7994,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,24,diu,,7.7605,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,25,anys,,7.7562,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,26,món,,7.6666,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,27,bon,,7.6619,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,28,haver,,7.6475,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,29,doncs,,7.6339,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,30,nit,,7.629,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,31,eren,,7.6281,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,32,havía,,7.6192,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,33,mort,,7.5724,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,34,damunt,,7.5461,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,35,sols,,7.5418,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,36,fill,,7.5354,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,37,aquells,,7.5289,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,38,anava,,7.5278,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,39,estat,,7.5234,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,40,ben,,7.5108,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,41,seves,,7.5091,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,42,havien,,7.5025,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,43,són,,7.481,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,44,fills,,7.465,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,45,dit,,7.458,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,46,terra,,7.4444,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,47,dins,,7.4285,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,48,estava,,7.4176,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,49,dues,,7.4005,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,positive_log_odds,50,sembla,,7.3918,,,distinctive_of=Catalan
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,1,señor,,-8.3377,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,2,esta,,-8.1877,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,3,hacia,,-7.948,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,4,dijo,,-7.8341,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,5,años,,-7.7075,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,6,madre,,-7.6748,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,7,incluso,,-7.6514,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,8,hijo,,-7.5819,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,9,hacía,,-7.5728,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,10,aquellos,,-7.5645,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,11,hijos,,-7.4885,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,12,pequeño,,-7.4603,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,13,manos,,-7.443,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,14,esas,,-7.4014,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,15,apenas,,-7.3855,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,16,cielo,,-7.3555,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,17,habría,,-7.2844,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,18,señora,,-7.2831,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,19,frente,,-7.2749,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,20,rostro,,-7.2211,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,21,embargo,,-7.1991,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,22,después,,-7.1804,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,23,demasiado,,-7.175,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,24,cuenta,,-7.1705,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,25,hablar,,-7.1504,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,26,mañana,,-7.0992,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,27,hubiera,,-7.0827,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,28,cualquier,,-7.0625,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,29,cierto,,-7.0591,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,30,espíritu,,-7.0539,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,31,pequeña,,-7.0505,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,32,junto,,-7.0488,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,33,habían,,-7.0312,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,34,buena,,-7.0261,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,35,cuerpo,,-6.9773,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,36,alguien,,-6.9298,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,37,niño,,-6.9201,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,38,parecía,,-6.9029,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,39,salir,,-6.8983,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,40,brazos,,-6.8963,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,41,habitación,,-6.8552,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,42,instante,,-6.8426,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,43,dado,,-6.8277,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,44,ningún,,-6.8168,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,45,atención,,-6.8125,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,46,pequeños,,-6.8081,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,47,respondió,,-6.7632,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,48,lado,,-6.7429,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,49,pie,,-6.7186,,,distinctive_of=Spanish
ca/keywords_log_odds.txt,ca,keywords,negative_log_odds,50,cataluña,,-6.7017,,,distinctive_of=Spanish
ca/unigrams_freq.txt,ca,unigrams_freq,,1,havia,,3691,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,2,cap,,3490,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,3,fer,,3314,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,4,tan,,3083,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,5,dir,,2590,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,6,home,,2542,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,7,ara,,2445,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,8,aquell,,2292,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,9,pas,,2249,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,10,casa,,2073,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,11,aquesta,,2010,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,12,aquella,,1995,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,13,vida,,1916,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,14,tota,,1852,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,15,ben,,1809,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,16,senyor,,1777,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,17,són,,1756,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,18,gran,,1714,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,19,mateix,,1708,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,20,terra,,1693,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,21,fet,,1675,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,22,veure,,1669,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,23,després,,1623,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,24,sempre,,1612,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,25,ulls,,1579,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,26,pare,,1530,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,27,temps,,1520,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,28,dia,,1517,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,29,ésser,,1516,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,30,aquí,,1509,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,31,vaig,,1508,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,32,sol,,1451,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,33,los,,1433,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,34,dos,,1402,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,35,cosa,,1395,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,36,mai,,1342,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,37,anar,,1307,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,38,cor,,1287,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,39,feia,,1260,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,40,pot,,1251,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,41,porta,,1251,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,42,totes,,1212,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,43,mare,,1208,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,44,tenia,,1208,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,45,allí,,1204,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,46,veu,,1193,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,47,deu,,1163,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,48,diu,,1162,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,49,anys,,1157,,,
ca/unigrams_freq.txt,ca,unigrams_freq,,50,mal,,1137,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,1,maría,gloria,215,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,2,rey,rodolf,206,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,3,alguna,cosa,198,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,4,don,pere,190,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,5,havia,fet,186,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,6,jordi,dandin,186,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,7,tan,sols,171,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,8,comte,orlof,165,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,9,príncep,demetri,158,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,10,vol,dir,138,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,11,tomàs,bajalta,138,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,12,tota,mena,137,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,13,hereu,escampa,137,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,14,senyor,josep,135,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,15,havia,estat,131,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,16,fills,israel,129,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,17,don,modest,128,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,18,donya,maria,121,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,19,anna,maria,116,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,20,sant,pere,113,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,21,vet,aquí,112,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,22,pau,garcia,112,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,23,després,haver,106,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,24,tal,volta,105,,,
ca/bigrams_freq.txt,ca,bigrams_freq,,25,aquell,home,102,,,
